"STATUS_0","Incomplete or invalid"
"Void order failed. PostFinance status: %s.","Void order failed. PostFinance status: %s."
"Authorization","Authorization"
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
"You will be redirected to the payment page after the order confirmation.","You will be redirected to the payment page after the order confirmation."
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Credit Card Type","Credit Card Type"
"Name on Card","Name on Card"
"Credit Card Number","Credit Card Number"
"Card Verification Number","Card Verification Number"
"Expiration Date","Expiration Date"
"Account holder","Account holder"
"Account number","Account number"
"Bank code","Bank code"
"You will be redirected to PostFinance website when you place an order.","You will be redirected to PostFinance website when you place an order."
"Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds."
"An error occured during 3D-Secure processing of PostFinance. Error: %s","Error during 3D-Secure processing of PostFinance. Error: %s"
"PSPID is a case sensitive field","PSPID is a case sensitive field"
"SHA-IN Pass phrase","SHA-IN Pass phrase"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>."
"SHA-OUT Pass phrase","SHA-OUT Pass phrase"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>."
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp","https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp"
"API User","API User"
"API Password","API Password"
"Payment Action","Payment Action"
"If you choose ""PostFinance"", you will need to fill in all the following fields.","If you choose ""PostFinance"", you will need to fill in all the following fields."
"Payment Template","Payment Template"
"Title of the PostFinance Template","Title of the PostFinance Template"
"Background Color of PostFinance Template","Background Color of PostFinance Template"
"Text Color of the PostFinance Template","Text Color of the PostFinance Template"
"Table Background Color of the PostFinance Template","Table Background Color of the PostFinance Template"
"Table Text Color of the PostFinance Template","Table Text Color of the PostFinance Template"
"Button Background Color of the PostFinance Template","Button Background Color of the PostFinance Template"
"Button Text Color of the PostFinance Template","Button Text Color of the PostFinance Template"
"Font Family of the PostFinance Template","Font Family of the PostFinance Template"
"Logo of the PostFinance Template","Logo of the PostFinance Template"
"Layout of Payment Methods","Layout of Payment Methods"
"e.g: white","e.g: white"
"e.g: black","e.g: black"
"e.g: Verdana","e.g: Verdana"
"Debug","Debug"
"PostFinance Account","PostFinance Account"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/filename of the logo. The URL must be absolute and stored on a secure server."
"Countries","Countries"
"Card Types","Card Types"
"Enable 3D secure","Enable 3D secure"
"OWNERADDRESS","street"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","street number"
"Please make sure that your street and house number are correct!","Please make sure that your street and house number are correct!"
